Weight,Zone(s),,,,,,,,,,,,,,
45,20.47,25.51,29.57,35.64,44.21,53.38,59.1,196.85,13.88,196.85,24.47,104.5,118.7,104.5,118.7
46,21.04,25.78,30.52,36.31,45.37,53.96,60.67,200.64,14,200.64,24.82,106.05,120.61,106.05,120.61
47,21.05,26.36,31.01,36.57,46.02,55.01,61.65,204.48,14.22,204.48,25.13,107.65,122.57,107.65,122.57
48,21.06,26.41,31.36,37.9,46.68,55.93,63.1,207.99,14.43,207.99,25.56,109.14,124.53,109.14,124.53
49,21.07,26.42,31.37,37.9,47.38,57.06,63.47,211.55,14.7,211.55,25.96,110.68,126.28,110.68,126.28
50,21.08,26.43,31.38,37.93,47.43,57.12,63.88,215.1,15.12,215.1,26.37,112.26,127.95,112.26,127.95
51,23.66,29.59,35.27,42.79,53.91,65.01,73.68,219.68,15.26,219.68,26.71,113.66,129.61,113.66,129.61
52,23.67,29.6,35.29,42.8,53.92,65.02,73.69,220.13,15.61,220.13,27.2,114.92,131.24,114.92,131.24
53,23.68,29.61,35.3,43.23,53.93,65.02,74.41,223.46,15.76,223.46,27.81,116.21,132.95,116.21,132.95
54,23.69,29.62,35.36,43.31,53.94,65.03,74.42,226.62,16.07,226.62,28.02,117.43,134.57,117.43,134.57
55,23.7,29.63,35.37,43.32,53.95,65.04,74.43,229.67,16.37,229.67,28.43,118.74,136.31,118.74,136.31
56,23.71,29.65,35.38,43.33,53.96,65.06,74.66,232.77,16.83,232.77,28.84,119.86,137.8,119.86,137.8
57,24.14,29.79,35.39,44.63,53.98,65.07,76.07,235.98,17.03,235.98,29.23,120.94,139.15,120.94,139.15
58,24.15,29.81,35.4,44.64,53.99,65.08,76.08,239.07,17.23,239.07,29.66,122.03,140.57,122.03,140.57
59,24.16,29.83,35.65,44.66,54.37,65.09,77.35,242.7,17.72,242.7,30.05,123.21,141.94,123.21,141.94
60,24.83,30.99,36.25,46.24,55.38,65.32,77.81,246.48,17.93,246.48,30.46,124.29,143.34,124.29,143.34
61,24.84,31.07,36.6,46.25,55.39,65.33,77.82,249.52,18.23,249.52,30.85,125.45,144.6,125.45,144.6
62,25.87,33.28,37.21,47.31,56.24,66.33,79.51,253.62,18.49,253.62,31.25,126.6,145.81,126.6,145.81
63,25.87,33.29,37.57,47.32,56.63,66.88,79.52,257.78,18.77,257.78,31.66,127.73,147.1,127.73,147.1
64,26.56,33.31,37.89,47.33,57.02,66.89,79.86,262.07,18.89,262.07,32.07,128.78,148.28,128.78,148.28
65,26.86,33.88,37.9,47.34,57.53,67.05,79.87,266.35,19.41,266.35,32.51,129.87,149.58,129.87,149.58
66,26.98,34.53,38.2,47.71,57.56,67.26,80.95,270.47,19.79,270.47,32.9,130.8,150.81,130.8,150.81
67,26.99,34.54,38.2,47.8,58.01,67.58,80.96,274.58,19.94,274.58,33.29,131.82,152.04,131.82,152.04
68,27.3,35.18,40.52,48.89,58.87,68.61,80.97,278.53,20.49,278.53,33.73,132.71,153.32,132.71,153.32
69,27.87,35.52,40.91,49.23,59.74,68.62,82.09,282.57,20.5,282.57,34.14,133.74,154.55,133.74,154.55
70,27.88,36.01,41.49,51.22,60.36,68.62,82.1,288.52,20.97,288.52,34.53,134.77,155.77,134.77,155.77
71,28.02,36.02,42.45,51.23,60.76,69.74,82.12,292.96,21.44,292.96,34.89,135.69,157.01,135.69,157.01
72,28.82,36.03,43.34,51.62,61.77,72.71,82.25,297.31,22.64,297.31,36.46,136.73,158.25,136.73,158.25
73,29,36.39,43.35,52,62.42,72.84,82.26,301.67,23.1,301.67,37.63,137.67,159.52,137.67,159.52
74,29.76,36.4,43.36,52.4,63.39,72.85,82.27,304.58,24.75,304.58,39.18,138.8,160.74,138.8,160.74
75,30.57,36.4,43.37,52.42,63.4,73.58,82.28,308.02,26.04,308.02,39.66,140.06,162.04,140.06,162.04
76,33.24,38.44,43.65,53.62,64.8,74.78,83.05,311.82,26.82,311.82,40.84,141.34,163.26,141.34,163.26
77,34.54,39.01,44.14,53.86,65.17,76.91,83.06,314.39,27.93,314.39,42.38,142.57,164.56,142.57,164.56
78,34.59,40.47,45.45,54.44,65.58,77.48,83.07,316.08,29.08,316.08,43.59,144,165.74,144,165.74
79,35.79,41.75,46.58,54.88,66.95,78.69,84.43,316.14,30.7,316.14,45.03,145.43,167.05,145.43,167.05
80,37.12,42.96,46.79,56.61,68.71,80.23,85.36,319.44,31.67,319.44,45.56,146.81,168.23,146.81,168.23
81,37.67,43.31,47.92,56.62,68.95,80.24,85.36,322.11,32.39,322.11,48.05,148.2,169.52,148.2,169.52
82,38.9,43.94,50.09,58.45,69.33,82.32,85.37,323.72,34.86,323.72,49.06,149.47,170.74,149.47,170.74
83,38.91,43.95,50.1,58.45,69.34,82.33,85.38,327.25,35.5,327.25,49.53,150.74,172.05,150.74,172.05
84,40.84,46.12,51.56,59.02,71.04,83.31,86.04,331.03,35.96,331.03,51.06,152.02,173.27,152.02,173.27
85,41.53,46.13,51.6,59.53,71.47,84.21,86.97,334.88,37.48,334.88,52.43,153.28,174.53,153.28,174.53
86,43.47,48.7,53.61,61.1,73,86.59,89.63,338.4,38.82,338.4,52.9,154.67,175.71,154.67,175.71
87,44.35,48.72,53.62,61.11,73.96,86.66,89.77,342.21,39.41,342.21,54.58,156.06,177.02,156.06,177.02
88,45.76,49.34,54.89,62.61,74.23,86.75,90.76,345.99,40.91,345.99,54.99,157.47,178.18,157.47,178.18
89,48.27,51.2,56.39,63.29,75.84,87.64,92.66,349.61,41.31,349.61,56.68,158.75,179.46,158.75,179.46
90,51.22,53.41,58.83,65.15,76.92,89.68,95.38,353.13,43.64,353.13,57.38,160.04,180.71,160.04,180.71
91,51.23,53.42,58.84,65.16,76.93,89.68,95.39,356.91,44.45,356.91,58.83,161.3,181.97,161.3,181.97
92,52.37,53.92,59.15,65.78,77.87,89.69,95.4,360.32,46.25,360.32,60.61,162.54,183.22,162.54,183.22
